Year,Team,Wins,Losses,WP,GB,Payroll
2000,New York Yankees,87,74,.540,0,"$92,538,260"
2000,Boston Red Sox,85,77,.525,2½,"$77,940,333"
2000,Toronto Blue Jays,83,79,.512,4½,"$46,238,333"
2000,Baltimore Orioles,74,88,.457,13½,"$81,447,435"
2000,Tampa Bay Devil Rays,69,92,.429,18,"$62,765,129"
2000,Chicago White Sox,95,67,.586,0,"$31,133,500"
2000,Cleveland Indians,90,72,.556,5,"$75,880,971"
2000,Detroit Tigers,79,83,.488,16,"$58,265,167"
2000,Kansas City Royals,77,85,.475,18,"$23,433,000"
2000,Minnesota Twins,69,93,.426,26,"$16,519,500"
2000,Oakland Athletics,91,70,.565,0,"$31,971,333"
2000,Seattle Mariners,91,71,.562,½,"$58,915,000"
2000,Anaheim Angels,82,80,.506,9½,"$51,464,167"
2000,Texas Rangers,71,91,.438,20½,"$70,795,921"
2001,New York Yankees,95,65,.594,0,"$109,791,893"
2001,Boston Red Sox,82,79,.509,13½,"$109,558,908"
2001,Toronto Blue Jays,80,82,.494,16,"$75,798,500"
2001,Baltimore Orioles,63,98,.391,32½,"$72,426,328"
2001,Tampa Bay Devil Rays,62,100,.383,34,"$54,798,500"
2001,Cleveland Indians,91,71,.562,0,"$91,974,979"
2001,Minnesota Twins,85,77,.525,6,"$24,350,000"
2001,Chicago White Sox,83,79,.512,8,"$62,363,000"
2001,Detroit Tigers,66,96,.407,25,"$49,831,167"
2001,Kansas City Royals,65,97,.401,26,"$35,643,000"
2001,Seattle Mariners,116,46,.716,0,"$75,652,500"
2001,Oakland Athletics,102,60,.630,13,"$33,810,750"
2001,Anaheim Angels,75,87,.463,41,"$46,568,180"
2001,Texas Rangers,73,89,.451,43,"$88,504,421"
2002,New York Yankees,103,58,.640,--,"$125,928,583"
2002,Boston Red Sox,93,69,.574,10½,"$108,366,060"
2002,Toronto Blue Jays,78,84,.481,25½,"$76,864,333"
2002,Baltimore Orioles,67,95,.414,36½,"$60,493,487"
2002,Tampa Bay Devil Rays,55,106,.342,48,"$34,380,000"
2002,Minnesota Twins,94,67,.584,--,"$40,225,000"
2002,Chicago White Sox,81,81,.500,13½,"$57,052,833"
